594-604nm,620-645nm,650-670nm,850nm,Sleep
14431.195363285842,12783.480634832093,4285.1590939840025,17387.060518717673,1.0
13155.91299611647,20269.591611103893,8094.342531599502,19682.78163522327,0.0
11138.930986027255,20442.20083546702,8483.221176891318,17787.0619071445,0.0
13059.29912077702,19043.611422407113,7963.64706156012,19847.909638611134,0.0
11922.891367039641,21074.100043488397,8266.796196165546,18951.102267379334,0.0
14666.401181469968,11508.36000786015,4317.933725872852,16018.070619382,1.0
16388.451028609456,17253.820691433953,5087.238026337899,17630.09758549137,1.0
12614.759739680214,17754.402216962357,7665.183516223231,18435.855352046336,0.0
13912.226559955976,14046.886902932534,4461.952597564215,15672.447657732046,1.0
14670.918579664887,17375.708807225048,5796.918082294926,16102.583000063461,1.0
12827.160167986467,18465.34941632748,7429.547952954102,16241.819145525014,0.0
13933.704175619932,13442.029228103747,5448.802677956338,16448.526698248792,1.0
12117.991428270045,21400.971106832625,7398.066261260468,18060.939775566505,0.0
12111.413157790736,18035.291282464626,8427.353475948723,18012.11482630823,0.0
13099.431516955477,15661.103526705254,4667.871227311713,17314.930031106174,1.0
15104.452657366002,14795.222668037424,5843.41932116067,16652.286045319426,1.0
14110.621385888106,20608.34873845182,8032.861343286801,18361.62919001471,0.0
13868.80380314606,18528.315778500426,7898.001681209528,18595.49473102887,0.0
14742.693269977073,13780.560098551454,5428.761941440247,17770.307574606966,1.0
13965.161201709096,16947.745978836443,5571.987706618254,17954.411564417278,1.0
11519.286641480587,20265.309415424195,7030.902782418127,16753.781582485728,0.0
13300.85253062632,21780.867659790834,8066.052688176463,19688.05236280741,0.0
12156.692517639658,19729.041234537497,6805.417300656396,18653.541376354628,0.0
14989.563853534015,15781.533970964278,5400.872246896935,17109.775607038435,1.0
15466.788474380568,16415.736703415732,6471.165277882235,15368.019260298413,1.0
15929.39879695676,16504.096435358966,5123.450751699853,16979.14061718269,1.0
12850.47005114062,20394.863819543127,10263.84913275738,18352.476312908577,0.0
12574.221496775132,20422.95292493598,8214.465672733317,18256.01308620539,0.0
16038.447797092207,14121.899215254982,5554.95185487358,17063.78108860098,1.0
12039.05621380888,19876.442746428806,7865.788636483941,17892.310656048216,0.0
15058.77014992435,13434.182415351657,5270.213982884678,17537.57657735916,1.0
14796.6485205524,16628.863863990035,4846.710824705753,16230.381648128734,1.0
10653.204266824647,22353.74676787737,7826.186479329742,17463.79311512302,0.0
15804.98283673631,15045.3573493939,3742.9626209810667,16522.144197094618,1.0
14157.12621289007,15597.21384200865,4985.832506217728,16152.538003110038,1.0
13632.074009690421,21477.410013542198,7680.180003532805,19594.74841035071,0.0
14271.58759309942,16040.732754882494,4155.71243841069,19289.825966230575,1.0
14902.550020241151,15698.599727294555,5012.447013852625,15244.908809201783,1.0
11990.674071215333,21087.04535923724,8134.5157480973,18791.125187788373,0.0
16590.60826544203,14593.784422681658,5069.602087499609,16546.273361104282,1.0
15520.567926687485,15801.129897407618,4510.012019331449,18306.12019850608,1.0
13181.950009491055,20868.238208747414,8838.139573322293,17176.639912637413,0.0
12819.52621922561,19776.82909690124,8065.552435105944,16514.149235025776,0.0
12610.29553981591,15535.988617819577,4281.370617610432,17223.43670877151,1.0
14485.848140269069,16961.553436481074,6784.653572284937,18233.864388387305,1.0
15955.729312783065,15030.257185888384,5372.200687059257,16584.12252620946,1.0
14995.6055510454,20413.237913867342,8115.970900227808,16567.14483462661,0.0
13063.14084807297,22415.2604263416,7872.220244414732,16745.981490850583,0.0
13058.690944925866,17502.989867523254,7196.135161045266,18012.737418345292,0.0
16019.588009422281,13648.455508307756,6192.484498819373,18857.191845027297,1.0
14585.340707794423,22160.703872258404,8633.747897133448,17752.191012005213,0.0
15913.33846829481,14844.061687811038,5960.76267253708,17521.331983524666,1.0
16093.567972067469,14717.145575356144,5246.671888684414,17040.29830931983,1.0
9682.983527549566,19949.382209967505,7771.650194097911,18455.630237071455,0.0
15324.315746495318,14507.44493100646,4842.852528018821,18867.06828438383,1.0
13370.721246894238,19353.275997029807,8325.901620118339,16859.52656161334,0.0
15719.82088580139,18736.547598104455,8050.386318602254,17636.311103534237,0.0
13511.155931058584,20485.25691102864,8451.190657938483,19574.188537679456,0.0
13299.295415191955,21329.586841934415,8437.693747456644,17624.034622368887,0.0
12171.748627564744,19371.014371680634,7288.126615341886,18679.850977426577,0.0
13588.079828136451,18790.127731417804,9887.58162373419,18116.447594739224,0.0
15127.39730635701,15859.009949637377,4463.492652305961,16984.06993491429,1.0
12851.840984819253,21204.926549011634,8993.275815525203,17651.265088149827,0.0
